# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Oct 29 14:40:52 2017
#
# COLUMN kepid:          KepID
# COLUMN kepoi_name:     KOI Name
# COLUMN koi_disposition: Exoplanet Archive Disposition
# COLUMN koi_pdisposition: Disposition Using Kepler Data
# COLUMN koi_score:      Disposition Score
# COLUMN koi_fpflag_nt:  Not Transit-Like False Positive Flag
# COLUMN koi_fpflag_ss:  Stellar Eclipse False Positive Flag
# COLUMN koi_fpflag_co:  Centroid Offset False Positive Flag
# COLUMN koi_fpflag_ec:  Ephemeris Match Indicates Contamination False Positive Flag
# COLUMN koi_period:     Orbital Period [days]
# COLUMN koi_duration:   Transit Duration [hrs]
# COLUMN koi_depth:      Transit Depth [ppm]
# COLUMN koi_prad:       Planetary Radius [Earth radii]
# COLUMN koi_srad:       Stellar Radius [Solar radii]
#
rowid,kepid,kepoi_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_duration,koi_depth,koi_prad,koi_srad
1,11446443,K00001.01,CONFIRMED,CANDIDATE,0.8110,0,0,0,0,2.470613377,1.74319,14230.9,13.04,0.9640
2,10666592,K00002.01,CONFIRMED,CANDIDATE,1.0000,0,1,0,0,2.204735417,3.88864,6674.7,16.10,1.9520
3,10748390,K00003.01,CONFIRMED,CANDIDATE,0.9130,0,0,0,0,4.887803076,2.36255,4315.8,4.82,0.7630
4,3861595,K00004.01,CANDIDATE,CANDIDATE,1.0000,0,1,0,0,3.849371737,2.63200,1298.6,12.94,2.9920
5,8554498,K00005.01,CANDIDATE,CANDIDATE,1.0000,0,0,0,0,4.780327581,2.02530,960.8,7.14,1.7870
6,3248033,K00006.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,1.334101467,2.10330,120.8,1.74,1.5800
7,11853905,K00007.01,CONFIRMED,CANDIDATE,1.0000,0,0,0,0,3.213668926,3.98235,727.8,4.13,1.5450
8,5903312,K00008.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,0,1,1,1.160152590,1.34330,170.2,1.40,0.9850
9,11553706,K00009.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,0,3.719809197,3.53170,2958.2,87.21,2.3480
10,6922244,K00010.01,CONFIRMED,CANDIDATE,0.9980,0,0,0,0,3.522498429,3.19843,9145.7,14.59,1.4510
11,11913073,K00011.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,3.747838198,5.06420,616.0,13.65,0.8260
12,5812701,K00012.01,CONFIRMED,CANDIDATE,0.6350,0,0,0,0,17.855221681,7.41287,9065.2,13.16,1.3670
13,9941662,K00013.01,CONFIRMED,CANDIDATE,0.8750,0,1,0,0,1.763587535,3.16877,4590.6,21.42,3.0310
14,7684873,K00014.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,0,0,2.947376671,2.09110,433.2,403.59,2.2340
15,3964562,K00015.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,3.012476582,3.14240,1138.5,65.25,2.0310
16,9110357,K00016.01,FALSE POSITIVE,FALSE POSITIVE,0.0000,0,1,1,1,0.895277575,2.71100,534.5,9.27,3.3250
17,10874614,K00017.01,CONFIRMED,CANDIDATE,0.9870,0,0,0,0,3.234699282,3.59385,10558.7,13.06,1.2910
18,8191672,K00018.01,CONFIRMED,CANDIDATE,0.7540,0,1,0,0,3.548465446,4.56904,7251.5,14.92,1.7460
