# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Nov 26 17:07:48 2017
#
# COLUMN st_delivname:   Name of Delivery
# COLUMN kepid:          KepID
# COLUMN kepmag:         Kepler-band [mag]
# COLUMN teff:           Effective Temperature [K]
# COLUMN logg:           Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN feh:            Stellar Metallicity [dex]
# COLUMN radius:         Stellar Radius [Solar radii]
# COLUMN mass:           Stellar Mass [Solar mass]
# COLUMN nconfp:         Number of Associated Confirmed Planets
# COLUMN nkoi:           Number of Associated KOIs
# COLUMN ntce:           Number of Associated TCEs
# COLUMN rrmscdpp01p5:   Robust RMS CDPP for a Searched Transit of 1.5 hrs of Duration
# COLUMN rrmscdpp02p0:   Robust RMS CDPP for a Searched Transit of 2.0 hrs of Duration
# COLUMN rrmscdpp02p5:   Robust RMS CDPP for a Searched Transit of 2.5 hrs of Duration
# COLUMN rrmscdpp03p0:   Robust RMS CDPP for a Searched Transit of 3.0 hrs of Duration
# COLUMN rrmscdpp03p5:   Robust RMS CDPP for a Searched Transit of 3.5 hrs of Duration
# COLUMN rrmscdpp04p5:   Robust RMS CDPP for a Searched Transit of 4.5 hrs of Duration
# COLUMN rrmscdpp05p0:   Robust RMS CDPP for a Searched Transit of 5.0 hrs of Duration
# COLUMN rrmscdpp06p0:   Robust RMS CDPP for a Searched Transit of 6.0 hrs of Duration
# COLUMN rrmscdpp07p5:   Robust RMS CDPP for a Searched Transit of 7.5 hrs of Duration
# COLUMN rrmscdpp09p0:   Robust RMS CDPP for a Searched Transit of 9.0 hrs of Duration
# COLUMN rrmscdpp10p5:   Robust RMS CDPP for a Searched Transit of 10.5 hrs of Duration
# COLUMN rrmscdpp12p0:   Robust RMS CDPP for a Searched Transit of 12.0 hrs of Duration
# COLUMN rrmscdpp12p5:   Robust RMS CDPP for a Searched Transit of 12.5 hrs of Duration
# COLUMN rrmscdpp15p0:   Robust RMS CDPP for a Searched Transit of 15.0 hrs of Duration
#
rowid,st_delivname,kepid,kepmag,teff,logg,feh,radius,mass,nconfp,nkoi,ntce,rrmscdpp01p5,rrmscdpp02p0,rrmscdpp02p5,rrmscdpp03p0,rrmscdpp03p5,rrmscdpp04p5,rrmscdpp05p0,rrmscdpp06p0,rrmscdpp07p5,rrmscdpp09p0,rrmscdpp10p5,rrmscdpp12p0,rrmscdpp12p5,rrmscdpp15p0
1,q1_q17_dr25_stellar,757450,15.264,5332,4.500,-0.080,0.843,0.8210,1,1,1,417.230,381.331,366.930,346.195,334.211,311.255,300.668,284.999,269.473,256.371,250.112,246.878,246.504,249.172
2,q1_q17_dr25_stellar,892772,15.162,5037,4.547,-0.200,0.751,0.7270,0,1,1,313.391,272.776,251.402,230.166,216.097,193.497,184.014,170.251,154.594,142.352,133.123,126.063,124.235,114.836
3,q1_q17_dr25_stellar,1025986,10.150,5604,4.226,-0.120,1.187,0.8640,0,1,1,37.145,36.939,38.535,39.552,41.010,42.779,43.645,45.876,49.131,51.164,53.190,55.589,56.425,60.883
4,q1_q17_dr25_stellar,1026032,14.813,5951,4.638,-1.060,0.702,0.7960,0,1,2,277.667,247.266,232.412,216.392,206.035,189.060,182.822,173.322,162.864,156.957,153.512,150.696,150.142,149.989
5,q1_q17_dr25_stellar,1026957,12.559,4859,4.612,0.000,0.720,0.7810,0,1,1,80.611,73.091,70.382,67.151,65.697,63.558,62.909,62.699,62.989,63.717,65.055,66.929,67.652,71.230
6,q1_q17_dr25_stellar,1027438,13.620,5662,3.483,-0.680,3.499,1.3580,0,1,0,124.076,109.421,102.305,94.959,90.591,83.668,80.989,77.398,74.037,72.134,71.457,71.246,71.288,72.030
7,q1_q17_dr25_stellar,1161345,11.631,5296,4.576,0.120,0.815,0.9110,0,1,1,59.556,56.309,56.416,55.672,56.078,56.744,57.358,59.386,62.802,66.012,69.815,73.666,74.956,81.233
8,q1_q17_dr25_stellar,1161949,13.978,6443,4.249,0.300,1.448,1.3580,0,1,0,161.814,144.545,136.871,128.421,123.292,115.769,112.631,108.630,105.040,103.232,102.530,103.377,103.880,106.590
9,q1_q17_dr25_stellar,1164301,13.933,5040,2.681,0.070,13.056,2.9810,0,1,0,302.860,302.184,310.291,310.268,312.009,302.668,297.435,292.189,287.540,281.782,277.312,273.169,271.465,263.788
10,q1_q17_dr25_stellar,1293031,12.915,6341,3.301,-0.100,5.302,2.0500,0,1,3,92.711,81.686,76.299,70.551,67.084,61.216,58.634,54.843,50.625,46.983,44.326,42.701,42.336,39.817
11,q1_q17_dr25_stellar,1293046,15.544,4264,4.637,-0.200,0.620,0.6070,0,1,1,427.268,376.181,350.394,323.484,305.909,275.285,262.655,242.333,220.442,204.449,192.214,183.675,181.382,167.462
12,q1_q17_dr25_stellar,1293379,15.979,5509,4.565,0.020,0.836,0.9370,0,1,0,557.959,487.908,450.700,411.790,386.716,347.005,330.805,305.233,278.779,261.316,248.692,237.366,234.327,220.820
13,q1_q17_dr25_stellar,1297263,13.636,6233,3.951,-0.140,1.921,1.2000,0,1,0,131.558,116.179,108.493,100.289,95.281,86.271,82.576,77.184,70.941,66.728,62.941,60.160,59.492,56.104
14,q1_q17_dr25_stellar,1429589,13.195,6325,4.373,0.120,1.191,1.2250,0,1,0,97.332,85.770,80.084,74.359,70.831,64.887,62.515,59.227,56.036,53.922,52.267,51.008,50.722,49.785
15,q1_q17_dr25_stellar,1430305,13.274,6570,3.902,-0.080,2.270,1.5000,0,1,0,110.807,99.749,94.767,89.228,86.030,80.477,78.222,75.861,73.752,72.074,70.571,69.670,69.586,68.465
16,q1_q17_dr25_stellar,1431122,14.613,5300,4.385,0.180,0.986,0.8610,0,1,1,229.515,202.242,188.334,173.635,164.579,149.298,143.540,135.058,125.521,118.990,114.132,110.477,109.511,104.041
17,q1_q17_dr25_stellar,1432214,15.661,6018,4.327,0.180,1.212,1.1420,0,1,2,449.789,393.218,362.240,332.508,313.513,280.116,266.781,244.592,221.680,204.115,192.461,182.918,180.534,169.082
18,q1_q17_dr25_stellar,1432789,15.214,5782,4.280,0.160,1.220,1.0350,1,2,2,318.641,277.755,256.543,235.234,221.055,197.515,187.935,173.232,157.648,146.199,137.669,132.072,130.667,121.218
19,q1_q17_dr25_stellar,1433531,13.240,5642,4.400,-0.160,0.970,0.8630,0,1,0,113.916,102.713,97.277,91.188,87.713,80.943,78.199,74.117,70.848,69.041,68.644,67.982,68.088,66.223
20,q1_q17_dr25_stellar,1433962,15.470,4506,4.626,-0.200,0.651,0.6540,0,1,1,411.410,365.377,345.911,326.177,311.533,284.829,274.823,260.818,243.068,228.150,217.940,209.069,206.276,196.321
21,q1_q17_dr25_stellar,1433980,14.915,6574,4.061,-0.220,1.768,1.3170,0,1,2,949.703,922.499,938.779,920.172,911.118,878.573,864.948,840.012,827.801,789.478,783.621,789.976,798.422,840.191
22,q1_q17_dr25_stellar,1434395,12.552,4996,2.354,0.070,20.848,3.5840,0,1,1,148.151,157.294,172.343,184.854,197.993,209.268,211.923,220.125,231.787,235.908,239.245,243.625,245.282,255.052
23,q1_q17_dr25_stellar,1571511,13.424,6061,4.401,-0.140,1.050,1.0120,0,1,2,114.923,101.815,95.835,89.071,85.246,78.516,75.872,72.398,69.307,67.250,66.575,66.199,66.195,66.774
24,q1_q17_dr25_stellar,1572948,14.526,6606,4.071,-0.160,1.768,1.3490,0,1,1,217.624,189.423,174.295,159.802,150.291,134.194,127.553,118.330,106.279,97.887,92.360,87.572,86.258,79.227
25,q1_q17_dr25_stellar,1575690,15.625,3979,4.699,-0.260,0.544,0.5390,0,1,1,563.432,523.963,513.452,496.012,488.246,469.036,462.568,453.418,445.065,435.487,432.888,432.060,432.539,429.329
26,q1_q17_dr25_stellar,1575873,11.283,6739,3.948,-0.240,2.059,1.3750,0,1,1,49.167,46.669,46.635,46.229,46.669,47.227,47.686,49.087,51.331,53.002,55.114,57.421,58.204,61.785
27,q1_q17_dr25_stellar,1717528,14.574,6099,4.456,0.020,1.028,1.0980,0,1,1,214.008,186.481,171.947,157.630,148.991,134.181,127.942,118.879,108.635,100.739,94.988,90.497,89.358,83.725
28,q1_q17_dr25_stellar,1717722,15.689,4805,4.633,-0.060,0.688,0.7690,0,2,3,530.239,465.940,432.562,398.089,375.661,339.878,324.290,301.910,280.418,264.463,252.526,242.277,238.941,224.444
29,q1_q17_dr25_stellar,1718189,14.246,5830,4.540,-0.140,0.876,0.9700,2,3,3,166.633,145.202,134.190,122.851,116.157,104.482,99.865,92.619,83.876,77.412,72.680,68.795,67.712,62.455
